2026-04-19 01:30:17,333 [INFO] Reading raw offers from C:\Users\marouane\Desktop\FindJob\transformers\data\adzuna_raw.json
2026-04-19 01:30:17,352 [INFO] Loaded 1000 raw offers
2026-04-19 01:30:17,520 [INFO] Transformed offer | poste='Product Analytics - Data Scientist' | societe='Criteo Technology' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,522 [INFO] Transformed offer | poste='Oliver Wyman - Analyst/Senior Analyst- Data & IA - Paris' | societe='Oliver Wyman' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=Senior | tech=0
2026-04-19 01:30:17,523 [INFO] Transformed offer | poste='Alternance – Ingénieur(e) Big Data, Python, SQL, AWS – Aéronautique - Toulouse' | societe='Sopra Steria' | lieu='Blagnac, Toulouse' | contrat=Alternance | seniorite=Alternance | tech=4
2026-04-19 01:30:17,524 [INFO] Transformed offer | poste='Business Analyst Data BI' | societe='Shift Consulting' | lieu='Lyon, Rhône' | contrat=None | seniorite=None | tech=1
2026-04-19 01:30:17,526 [INFO] Transformed offer | poste="Alternance - Ingénieur/e d'Etudes Big Data - Energie & Telecom - Lyon" | societe='Sopra Steria' | lieu='Limonest, Lyon' | contrat=Alternance | seniorite=Alternance | tech=1
2026-04-19 01:30:17,528 [INFO] Transformed offer | poste='AI Research Engineer / Data Scientist M/F' | societe='EDHEC Business School' | lieu='Nice, Alpes-Maritimes' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,529 [INFO] Transformed offer | poste='Data Scientist (AI Engineer)' | societe='Socotec' | lieu='France' | contrat=None | seniorite=Senior | tech=0
2026-04-19 01:30:17,531 [INFO] Transformed offer | poste='Scrum Master Data (F/H)' | societe='ALTEN' | lieu='Boulogne-Billancourt, Hauts-de-Seine' | contrat=None | seniorite=Senior | tech=0
2026-04-19 01:30:17,532 [INFO] Transformed offer | poste='Data analyst thales h/f (Intérim)' | societe='Page Personnel' | lieu='Haute-Garonne, Occitanie' | contrat=CDD | seniorite=None | tech=1
2026-04-19 01:30:17,534 [INFO] Transformed offer | poste='Data Engineer Cloud' | societe='Néosoft' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,535 [INFO] Transformed offer | poste='Data Scientist - Tabular Data H/F' | societe='KLANIK' | lieu='Aube, Grand-Est' | contrat=CDD | seniorite=None | tech=0
2026-04-19 01:30:17,536 [INFO] Transformed offer | poste='Data Scientist' | societe='Mistral AI' | lieu='Paris, Ile-de-France' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,538 [INFO] Transformed offer | poste='Data Scientist' | societe='Mistral AI' | lieu='1er Arrondissement, Paris' | contrat=None | seniorite=None | tech=0
2026-04-19 01:30:17,539 [INFO] Transformed offer | poste='Data Engineer / Data Scientist F/H' | societe='ADHOC CONSULT' | lieu='Paris, Ile-de-France' | contrat=CDI | seniorite=None | tech=0
2026-04-19 01:30:17,541 [INFO] Transformed offer | poste='Ingénieur Data Confirmé - Services Financiers - Bordeaux' | societe='Sopra Steria' | lieu='Mérignac, Bordeaux' | contrat=None | seniorite=Confirmé | tech=1
2026-04-19 01:30:17,542 [INFO] Transformed offer | poste='Lead Data Scientist RetD H/F (CDI)' | societe='Kaino' | lieu='Suresnes, Nanterre' | contrat=CDI | seniorite=Senior | tech=1
2026-04-19 01:30:17,544 [INFO] Transformed offer | poste='Data Analyst (Data Partner) – m/f/d' | societe='Voyage Privé' | lieu='Aix-en-Provence, Bouches-du-Rhône' | contrat=None | seniorite=Senior | tech=0
2026-04-19 01:30:17,545 [INFO] Transformed offer | poste='Expert Data Scientist - Data Analyst' | societe='Quadratic' | lieu='9ème Arrondissement, Paris' | contrat=None | seniorite=Senior | tech=1
